job_id,job_title,job_tags,company_address,company_name,company_size,min_salary,max_salary,experiences,industries,languages,frameworks
1396273,"Golang Developer Tiếng Anh Tốt, Thị Trường Global","Golang, English, ",Hà Nội,Công Ty Cổ Phần Công Nghệ VMO Holdings,1000+ nhân viên,,,3,Software,Go,
1396494,Lập Trình Viên C# (Middle),,Hà Nội,Công ty cổ phần SANAN,25-99 nhân viên,,35,2,Web-Back,C#,
1396942,Data Analyst (Kỹ Sư Phân Tích Dữ Liệu),,Hà Nội,Viettel Software,500-1000 nhân viên,,35,,DE,,
1358427,Data Engineer (Junior),"SQL, ETL, Data lake, ",Hà Nội,Viettel Software,500-1000 nhân viên,15,35,,DE,"Java,Scala,Python",
1396950,AI Engineer (Junior/Middle),,Hà Nội,Viettel Software,500-1000 nhân viên,,35,1,AIE,"Java,Python",
1316088,Senior Java Developer,,Hà Nội,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HEBELA,100-499 nhân viên,30,50,3,Web-Back,"Java,JS","AngularJS,SpringBoot"
1267789,Lập Trình Viên Front-End,,Hà Nội,Công ty cổ phần thương mại trực tuyến An Thịnh Phát,25-99 nhân viên,12,20,2,Web-Front,JS,"ReactJS,AngularJS"
1158009,Thực Tập Sinh Data Analyst,"Python, Kĩ năng phân tích tổng hợp, Tiếng Anh giao tiếp, Data Analysis, RPA, PowerBI, VBA, Kỹ năng lắng nghe, phân tích số liệu","Hà Nội, Hồ Chí Minh",CÔNG TY CỔ PHẦN TƯ VẤN MCI VIỆT NAM,100-499 nhân viên,,,,DE,,
1228661,Java Backend Developer (Middle/Senior),"Java, MongoDB, Oracle, PostgreSQL, Core Java",Hà Nội,Viettel Software,500-1000 nhân viên,,40,4,Web-Back,Java,SpringBoot
1395757,Kỹ Sư Hệ Thống - IT Engineer,,Hồ Chí Minh,CHI NHÁNH CÔNG TY TNHH KDDI VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,500-1000 nhân viên,12,20,,System,,
1396451,NodeJS Developer (Junior),,Đà Nẵng,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,100-499 nhân viên,,20,2,Web-Back,JS,"AngularJS,NodeJS"
1396465,Angular Developer (Junior),,Đà Nẵng,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,100-499 nhân viên,18,20,2,Web-Front,JS,AngularJS
1396473,NodeJS Developer (Middle),,Đà Nẵng,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,100-499 nhân viên,,38,,Web-Back,JS,NodeJS
1397042,Mobile App Developer,,Hà Nội,CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,25-99 nhân viên,10,30,,Mobile,JS,React Native
1396806,Nhân Viên Thiết Kế,"Illustrator, Photoshop, Thiết Kế, ",Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ MAXCOM GROUP,10-24 nhân viên,9,12,,,,
1361098,BrSE Engineer,"Tiếng Nhật N2 - N1, Software Engineering, ",Hà Nội,Công ty An ninh mạng Viettel- Chi nhánh Tập đoàn Công nghiệp- Viễn thông quân đội,100-499 nhân viên,,,,,,
1210648,Nhân Viên Quản Lý Hệ Thống MES - MES Engineer (Biết Tiếng Trung)- Hà Nam Có Xe Đưa Đón + Phụ Cấp,"MES, ",Hà Nam,Công ty TNHH AUO Việt Nam,500-1000 nhân viên,15,25,,,,
1395503,Nhân Viên IT Helpdesk,"IT Helpdesk, Quản Trị Mạng, Server, Quản Trị Hệ Thống",Hồ Chí Minh,Công ty CP Kiến Trúc Việt Miền Nam,100-499 nhân viên,,,,Helpdesk,,
1395590,Nhân Viên Kinh Doanh Sản Phẩm Công Nghệ,,"Hà Nội, Hồ Chí Minh",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ SỐ CALLSTACK,25-99 nhân viên,7,30,,,,
1397048,Embedded Software Developer,,Hà Nội,CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,25-99 nhân viên,10,30,,,,
1333775,Manual Tester (EN Fluent),,Hà Nội,Công ty Cổ phẩn Lotus Quality Assurance,100-499 nhân viên,13,25,2,Tester,,
1356170,Backend Golang Leader,,Hà Nội,Công Ty Cổ Phần Công Nghệ VMO Holdings,1000+ nhân viên,,,5,Web-Back,Go,
1397050,ReactJS Developer,,Hà Nội,Công ty Cổ Phần Ecomobi Media,100-499 nhân viên,,,3,Web-Front,"JS,PHP","ReactJS,NextJS"
1395964,"Nhân Viên Media ( Design, Quay Dựng Tiktok)","Dựng phim, Quay Phim, Chỉnh Sửa Ảnh, Chụp Ảnh, Quay Dựng Tiktok, Photoshop, Capcut",Bắc Ninh,CÔNG TY CỔ PHẦN CÔNG NGHỆ MÁY TÍNH AQUATECH,1-9 nhân viên,8,12,,,,
1397057,Dev Cắt HTML/CSS,,Hà Nội,CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,25-99 nhân viên,10,20,,,,
1396969,IoT Engineering Intern,,Hồ Chí Minh,CÔNG TY TNHH HIFARM,25-99 nhân viên,,,,,,
1396155,Business Development Executive,"Marketing, Sales, Business Development, Quản Lý, Kinh Doanh, Tiếng Anh giao tiếp, Tìm kiếm khách hàng, Sale, Ms Office, Chốt Sale, Sales B2b, Account Manager",Hồ Chí Minh,CÔNG TY CỔ PHẦN CÔNG NGHỆ WATA,100-499 nhân viên,,,,,,
1397065,Backend Developer,,Hà Nội,CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,25-99 nhân viên,10,30,,Web-Back,JS,NodejS
